,year,date,score,place
0,2017,04.01(토),LG8vs3넥센,고척
1,2017,04.04(화),넥센2vs5롯데,사직
2,2017,04.07(금),넥센7vs3두산,잠실
3,2017,04.11(화),KT2vs12넥센,고척
4,2017,04.14(금),넥센2vs3KIA,광주
5,2017,04.18(화),넥센4vs7SK,문학
6,2017,04.21(금),롯데1vs4넥센,고척
7,2017,04.28(금),넥센13vs2한화,대전
8,2017,05.02(화),KIA9vs3넥센,고척
9,2017,05.09(화),넥센vsNC,창원
10,2017,05.12(금),넥센1vs4삼성,대구
11,2017,05.16(화),한화1vs2넥센,고척
12,2017,05.19(금),넥센4vs3KT,수원
13,2017,05.23(화),NC15vs4넥센,고척
14,2017,05.30(화),넥센3vs1LG,잠실
15,2017,06.02(금),두산15vs4넥센,고척
16,2017,06.06(화),넥센5vs6SK,문학
17,2017,06.09(금),넥센7vs5KIA,광주
18,2017,06.13(화),NC14vs5넥센,고척
19,2017,06.20(화),넥센5vs6한화,대전
20,2017,06.23(금),LG3vs8넥센,고척
21,2017,06.27(화),넥센2vs7NC,창원
22,2017,06.30(금),넥센9vs5KT,수원
23,2017,07.04(화),한화5vs7넥센,고척
24,2017,07.07(금),넥센9vs2삼성,대구
25,2017,07.11(화),넥센5vs1두산,잠실
26,2017,07.18(화),KIA4vs3넥센,고척
27,2017,07.25(화),넥센6vs0LG,잠실
28,2017,07.28(금),삼성9vs2넥센,고척
29,2017,08.04(금),넥센8vs10롯데,사직
30,2017,08.08(화),넥센5vs3KIA,광주
31,2017,08.10(목),두산7vs4넥센,고척
32,2017,08.15(화),넥센vs삼성,대구
33,2017,08.17(목),롯데5vs3넥센,고척
34,2017,08.24(목),넥센5vs6두산,잠실
35,2017,08.26(토),넥센1vs6롯데,사직
36,2017,08.29(화),SK4vs8넥센,고척
37,2017,08.31(목),넥센5vs3LG,잠실
38,2017,09.02(토),KIA7vs4넥센,고척
39,2017,09.05(화),넥센1vs5KT,수원
40,2017,09.07(목),LG1vs1넥센,고척
41,2017,09.09(토),넥센1vs2SK,문학
42,2017,09.12(화),KT3vs2넥센,고척
43,2017,09.14(목),넥센2vs10한화,대전
44,2017,09.16(토),넥센14vs15NC,창원
45,2017,09.21(목),넥센5vs3KT,수원
46,2017,09.23(토),넥센2vs7롯데,사직
47,2017,09.29(금),넥센4vs8NC,창원
48,2017,10.03(화),넥센9vs10삼성,대구
49,2018,04.03(화),KT7vs1넥센,고척
50,2018,04.06(금),넥센5vs11KIA,광주
51,2018,04.10(화),넥센3vs4롯데,사직
52,2018,04.13(금),두산12vs0넥센,고척
53,2018,04.20(금),넥센6vs1한화,대전
54,2018,04.24(화),넥센2vs8LG,잠실
55,2018,04.27(금),SK8vs3넥센,고척
56,2018,05.01(화),넥센13vs4NC,창원
57,2018,05.04(금),넥센11vs1KT,수원
58,2018,05.08(화),한화10vs9넥센,고척
59,2018,05.11(금),넥센10vs5두산,잠실
60,2018,05.15(화),KIA2vs1넥센,고척
61,2018,05.22(화),넥센10vs4SK,문학
62,2018,05.25(금),롯데2vs13넥센,고척
63,2018,05.29(화),넥센12vs8KIA,광주
64,2018,06.01(금),넥센1vs3LG,잠실
65,2018,06.05(화),두산6vs13넥센,고척
66,2018,06.08(금),넥센11vs5KT,수원
67,2018,06.12(화),한화6vs2넥센,고척
68,2018,06.19(화),넥센6vs5두산,잠실
69,2018,06.22(금),KIA8vs5넥센,고척
70,2018,06.26(화),넥센9vs3롯데,사직
71,2018,06.29(금),넥센8vs7삼성,대구
72,2018,07.03(화),SK9vs3넥센,고척
73,2018,07.10(화),넥센1vs4한화,대전
74,2018,07.17(화),LG9vs3넥센,고척
75,2018,07.20(금),넥센8vs10NC,창원
76,2018,07.24(화),KT9vs6넥센,고척
77,2018,07.31(화),넥센3vs1SK,문학
78,2018,08.04(토),넥센3vs1KT,수원
79,2018,08.07(화),KIA1vs9넥센,고척
80,2018,08.09(목),넥센16vs5한화,대전
81,2018,08.11(토),LG8vs13넥센,고척
82,2018,08.14(화),넥센11vs10삼성,대구
83,2018,08.16(목),넥센2vs8두산,잠실
84,2018,09.04(화),넥센7vs3SK,문학
85,2018,09.06(목),넥센2vs7KIA,광주
86,2018,09.08(토),KT12vs6넥센,고척
87,2018,09.11(화),넥센3vs1LG,잠실
88,2018,09.13(목),넥센vsNC,창원
89,2018,09.15(토),넥센6vs5롯데,사직
90,2018,09.18(화),두산7vs10넥센,고척
91,2018,09.25(화),넥센2vs13두산,잠실
92,2018,09.27(목),롯데8vs6넥센,고척
93,2018,10.06(토),넥센5vs6NC,창원
94,2018,10.12(금),넥센10vs5KT,수원
95,2018,10.13(토),넥센5vs12삼성,대구
