,year,date,score,place
0,2017,04.01(토),롯데3vs0NC,창원
1,2017,04.04(화),NC0vs6한화,대전
2,2017,04.07(금),NC5vs3SK,문학
3,2017,04.11(화),LG3vs4NC,창원
4,2017,04.18(화),NC8vs3롯데,사직
5,2017,04.21(금),NC4vs4삼성,대구
6,2017,04.25(화),KT1vs2NC,창원
7,2017,04.28(금),NC3vs9KIA,광주
8,2017,05.02(화),NC2vs1LG,잠실
9,2017,05.05(금),삼성2vs7NC,창원
10,2017,05.12(금),NC8vs5KT,수원
11,2017,05.16(화),NC2vs1두산,잠실
12,2017,05.19(금),SK11vs1NC,창원
13,2017,05.23(화),NC15vs4넥센,고척
14,2017,05.26(금),한화3vs5NC,창원
15,2017,06.02(금),NC4vs1LG,잠실
16,2017,06.06(화),롯데5vs4NC,창원
17,2017,06.13(화),NC14vs5넥센,고척
18,2017,06.16(금),NC11vs5두산,잠실
19,2017,06.20(화),NC1vs7SK,문학
20,2017,06.23(금),KIA1vs4NC,창원
21,2017,06.30(금),NC0vs9롯데,사직
22,2017,07.04(화),LGvsNC,창원
23,2017,07.11(화),NC4vs7KIA,광주
24,2017,07.18(화),NC7vs4한화,대전
25,2017,07.21(금),SK6vs10NC,창원
26,2017,07.25(화),NC1vs3삼성,대구
27,2017,07.28(금),NC5vs4KT,수원
28,2017,08.01(화),한화6vs7NC,창원
29,2017,08.08(화),NC0vs4SK,문학
30,2017,08.10(목),롯데2vs3NC,창원
31,2017,08.12(토),NC0vs3두산,잠실
32,2017,08.15(화),NC2vs4KIA,광주
33,2017,08.17(목),한화1vs3NC,창원
34,2017,08.19(토),NC3vs4넥센,고척
35,2017,08.22(화),NC4vs3LG,잠실
36,2017,08.24(목),KT1vs7NC,창원
37,2017,08.29(화),NC13vs2KT,수원
38,2017,08.31(목),NC5vs8롯데,사직
39,2017,09.02(토),LG0vs6NC,창원
40,2017,09.05(화),NC3vs9삼성,대구
41,2017,09.07(목),SK3vs4NC,창원
42,2017,09.09(토),NC3vs6한화,대전
43,2017,09.12(화),두산14vs13NC,창원
44,2017,09.27(수),NC11vs1삼성,대구
45,2017,09.29(금),넥센4vs8NC,창원
46,2017,10.03(화),NC8vs8한화,대전
47,2018,04.01(일),NC2vs3롯데,사직
48,2018,04.03(화),삼성3vs4NC,창원
49,2018,04.06(금),NCvs두산,잠실
50,2018,04.10(화),KT5vs4NC,창원
51,2018,04.13(금),NC2vs4SK,문학
52,2018,04.17(화),NC3vs2넥센,고척
53,2018,04.20(금),LG9vs4NC,창원
54,2018,04.24(화),NC2vs7삼성,대구
55,2018,04.27(금),두산6vs2NC,창원
56,2018,05.04(금),NC6vs5KIA,광주
57,2018,05.08(화),SK0vs9NC,창원
58,2018,05.11(금),NC4vs2한화,대전
59,2018,05.15(화),롯데5vs3NC,창원
60,2018,05.18(금),NC6vs1KT,수원
61,2018,05.22(화),NC1vs6LG,잠실
62,2018,05.25(금),KIA14vs2NC,창원
63,2018,05.29(화),NC2vs7한화,대전
64,2018,06.01(금),삼성5vs3NC,창원
65,2018,06.08(금),NC1vs6두산,잠실
66,2018,06.12(화),LG4vs8NC,창원
67,2018,06.19(화),NCvsKIA,광주
68,2018,06.22(금),한화5vs0NC,창원
69,2018,06.29(금),NC3vs7KT,수원
70,2018,07.03(화),NC13vs6LG,잠실
71,2018,07.06(금),NC2vs6넥센,고척
72,2018,07.10(화),KIA6vs8NC,창원
73,2018,07.17(화),NC4vs10SK,문학
74,2018,07.20(금),넥센8vs10NC,창원
75,2018,07.24(화),NC3vs2롯데,사직
76,2018,07.27(금),SK0vs1NC,창원
77,2018,07.31(화),NC4vs4삼성,대구
78,2018,08.04(토),NC7vs5한화,대전
79,2018,08.07(화),KT12vs10NC,창원
80,2018,08.11(토),NC7vs1삼성,대구
81,2018,08.14(화),NC0vs10KT,수원
82,2018,09.04(화),삼성5vs3NC,창원
83,2018,09.06(목),NC3vs6LG,잠실
84,2018,09.08(토),롯데1vs7NC,창원
85,2018,09.15(토),NC13vs7두산,잠실
86,2018,09.18(화),한화3vs10NC,창원
87,2018,09.20(목),NC6vs7KIA,광주
88,2018,09.22(토),두산13vs10NC,창원
89,2018,09.25(화),NC7vs8롯데,사직
90,2018,09.27(목),NC4vs11SK,문학
91,2018,09.29(토),NC5vs6넥센,고척
92,2018,10.02(화),NC6vs5KIA,광주
93,2018,10.06(토),넥센5vs6NC,창원
94,2018,10.12(금),NC2vs13두산,잠실
95,2018,10.13(토),NC8vs10한화,대전
